,Num CEAC-L,PY CEAC-L I,PY CEAC-L C,PY CEAC-L T,,Num SEAC-L,PY SEAC-L I,PY SEAC-L C,PY SEAC-L T,,Num CEAC-R,PY CEAC-R I,PY CEAC-R C,PY CEAC-R T,,Num SEAC-R,PY SEAC-R I,PY SEAC-R C,PY SEAC-R T,,Num CEAC-D,PY CEAC-D I,PY CEAC-D C,PY CEAC-D T,,Num SEAC-D,PY SEAC-D I,PY SEAC-D C,PY SEAC-D T,,Num CEAC-U,PY CEAC-U I,PY CEAC-U C,PY CEAC-U T,,Num SEAC-U,PY SEAC-U I,PY SEAC-U C,PY SEAC-U T,,,Num Endosc,Num Init RFA,Num Touchups,Num Lifeyears
2030,0.134314171,0.086989489,0.082654875,0.026005423,,0,0,13.05947018,2.872256891,,0.113650453,0.082654875,0.082654875,0.061991156,,0,0,1.167500103,0.45460181,,0.14464603,0.021524294,0.061991156,0.049661584,,0,0,0.14464603,0.061991156,,0.103318593,0.041327437,0.020663719,0.011510899,,0,0,0,0,,,0,0,0,488.3146671
2031,0,0,0.15497789,0.051659297,,0,0,9.990907964,2.903252469,,0,0,0.15497789,0.030995578,,0,0,0.816216886,0.351283217,,0,0,0.051659297,0.051659297,,0,0,0.082654875,0.061991156,,0,0,0.051659297,0.041327437,,0,0,0,0,,,0,0,0,450.0454602
2032,0,0,0.082654875,0.020663719,,0,0,7.542257305,2.345332066,,0,0,0.041327437,0.051659297,,0,0,0.599247841,0.206637186,,0,0,0.010331859,0.010331859,,0,0,0.030995578,0.051659297,,0,0,0.030995578,0.010331859,,0,0,0,0,,,0,0,0,412.3238418
2033,0,0,0.061991156,0.020663719,,0,0,0.103318593,0.041327437,,0,0,0.030995578,0.010331859,,0,0,0.010331859,0,,0,0,0,0.010331859,,0,0,0,0.010331859,,0,0,0.010331859,0.020663719,,0,0,0,0,,,0,0,0,374.6125553
2034,0,0,0.041327437,0,,0,0,0,0,,0,0,0.030995578,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0.010331859,0,,0,0,0,0,,,0,0,0,338.5337025
2035,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,302.3928586
2036,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,266.9752449
2037,0.010331859,0.000201088,0,0,,0,0,0,0,,0.010331859,0.010331859,0,0,,0,0,0,0,,0.020663719,0,0,0.003088673,,0,0,0,0,,0.010331859,0,0,0.005210525,,0,0,0,0,,,0,0,0,232.5288259
2038,0.061991156,0.041327437,0,0.012313927,,0,0,0,0,,0.061991156,0.034212951,0.010331859,0,,0,0,0,0,,0.113650453,0.010331859,0,0.016327642,,0,0,0,0,,0.051659297,0.010572857,0,0.001567058,,0,0,0,0,,,0,0,0,199.838823
2039,0.206637186,0.105403367,0.041327437,0.017881644,,0,0,0,0,,0.361615076,0.186683782,0.030995578,0.057003596,,0,0,0,0,,0.371946936,0.020663719,0.010331859,0.072043624,,0,0,0,0,,0.061991156,0.014437712,0.010331859,0.030995578,,0,0,0,0,,,0,0,0,168.553953
2040,0.692234575,0.348414811,0.14464603,0.128445085,,0,0,0,0,,0.640575278,0.285020007,0.196305327,0.172197486,,0,0,0,0,,0.702566434,0.087238932,0.020663719,0.263790499,,0,0,0,0,,0.227300905,0.082982067,0.020663719,0.071825198,,0,0,0,0,,,0,0,0,139.9553664
2041,0.619911559,0.327978028,0.392610654,0.381495746,,0,0,0,0,,1.002190354,0.312903247,0.402942514,0.433668079,,0,0,0,0,,0.91953548,0.170517461,0.072323015,0.455227385,,0,0,0,0,,0.175641608,0.057645768,0.092986734,0.103658847,,0,0,0,0,,,0,0,0,113.6091251
2042,0.568252263,0.231754706,0.588915981,0.308973942,,0,0,0,0,,0.516592966,0.201035473,0.495929247,0.710015695,,0,0,0,0,,0.619911559,0.088782351,0.175641608,0.455032943,,0,0,0,0,,0.196305327,0.057092703,0.113650453,0.119986898,,0,0,0,0,,,0,0,0,88.77133529
2043,0.361615076,0.13266101,0.650907137,0.356360564,,0,0,0,0,,0.547588544,0.258550556,0.475265529,0.391838512,,0,0,0,0,,0.547588544,0.100777031,0.15497789,0.387595409,,0,0,0,0,,0.134314171,0.020663719,0.113650453,0.105694935,,0,0,0,0,,,0,0,0,67.99396619
2044,0.29962392,0.145388767,0.557920403,0.321271908,,0,0,0,0,,0.382278795,0.134361544,0.485597388,0.440410297,,0,0,0,0,,0.392610654,0.05849405,0.175641608,0.28433416,,0,0,0,0,,0.196305327,0.11870037,0.103318593,0.095118675,,0,0,0,0,,,0,0,0,50.51246022
2045,0.29962392,0.1818292,0.361615076,0.278915112,,0,0,0,0,,0.278960202,0.076880179,0.392610654,0.305672839,,0,0,0,0,,0.268628342,0.019582126,0.061991156,0.377526551,,0,0,0,0,,0.196305327,0.050942643,0.165309749,0.101105457,,0,0,0,0,,,0,0,0,36.72975989
2046,0.165309749,0.103318593,0.351283217,0.1853907,,0,0,0,0,,0.15497789,0.05386419,0.268628342,0.266306644,,0,0,0,0,,0.165309749,0.010331859,0.041327437,0.130345518,,0,0,0,0,,0.051659297,0.023333544,0.082654875,0.191116469,,0,0,0,0,,,0,0,0,25.9329669
2047,0.14464603,0.046991323,0.247964624,0.136557707,,0,0,0,0,,0.103318593,0.045761313,0.196305327,0.146319854,,0,0,0,0,,0.196305327,0.035573454,0.020663719,0.058478985,,0,0,0,0,,0.061991156,0.020663719,0.041327437,0.072381672,,0,0,0,0,,,0,0,0,18.03942638
2048,0.15497789,0.062583129,0.185973468,0.170743248,,0,0,0,0,,0.15497789,0.043557075,0.123982312,0.139593669,,0,0,0,0,,0.123982312,0.039245378,0.041327437,0.088931692,,0,0,0,0,,0.061991156,0.010331859,0.020663719,0.057700348,,0,0,0,0,,,0,0,0,12.12960284
2049,0.061991156,0,0.103318593,0.18091142,,0,0,0,0,,0.103318593,0,0.082654875,0.112382228,,0,0,0,0,,0.092986734,0,0.051659297,0.080397462,,0,0,0,0,,0.041327437,0,0.020663719,0.041353541,,0,0,0,0,,,0,0,0,7.707567054
2050,0,0,0,0.14464603,,0,0,0,0,,0,0,0,0.15497789,,0,0,0,0,,0,0,0,0.072323015,,0,0,0,0,,0,0,0,0.051659297,,0,0,0,0,,,0,0,0,4.917965037
,4.649336695,,,,,124.705542,,,,,5.599867752,,,,,12.57387279,,,,,6.116460718,,,,,1.425796586,,,,,1.963053271,157.0339298,,,,,,,,,,,,,
